03:23:56 INFO device=cuda out_dir=runs\20260627_032356_segformer_b2 smoke=False
03:23:57 INFO train=5604 val=622 batches/epoch=1401
03:24:02 INFO resumed from runs/20260622_020144_segformer_b2/last.pth: starting epoch 9, best_iou=0.4736
03:42:22 INFO epoch 11 step 950/1401 loss 0.2888 lr 5.09e-05
03:42:34 INFO epoch 11 step 1000/1401 loss 0.2704 lr 5.08e-05
03:42:46 INFO epoch 11 step 1050/1401 loss 0.2635 lr 5.08e-05
03:42:58 INFO epoch 11 step 1100/1401 loss 0.2736 lr 5.07e-05
03:43:11 INFO epoch 11 step 1150/1401 loss 0.2800 lr 5.06e-05
03:43:23 INFO epoch 11 step 1200/1401 loss 0.2787 lr 5.06e-05
03:43:35 INFO epoch 11 step 1250/1401 loss 0.2969 lr 5.05e-05
03:43:47 INFO epoch 11 step 1300/1401 loss 0.2949 lr 5.04e-05
03:43:59 INFO epoch 11 step 1350/1401 loss 0.3016 lr 5.04e-05
03:44:12 INFO epoch 11 step 1400/1401 loss 0.2710 lr 5.03e-05
03:44:55 INFO == epoch 11 val: iou=0.4837 dice=0.6521
03:45:38 INFO epoch 12 step 50/1401 loss 0.2773 lr 5.03e-05
03:45:50 INFO epoch 12 step 100/1401 loss 0.2957 lr 5.02e-05
03:46:02 INFO epoch 12 step 150/1401 loss 0.2901 lr 5.01e-05
03:46:14 INFO epoch 12 step 200/1401 loss 0.2831 lr 5.01e-05
03:46:27 INFO epoch 12 step 250/1401 loss 0.2963 lr 5.00e-05
03:46:39 INFO epoch 12 step 300/1401 loss 0.2896 lr 4.99e-05
03:46:51 INFO epoch 12 step 350/1401 loss 0.2663 lr 4.99e-05
03:47:03 INFO epoch 12 step 400/1401 loss 0.2779 lr 4.98e-05
03:47:15 INFO epoch 12 step 450/1401 loss 0.2756 lr 4.97e-05
03:47:28 INFO epoch 12 step 500/1401 loss 0.2810 lr 4.97e-05
03:47:40 INFO epoch 12 step 550/1401 loss 0.2881 lr 4.96e-05
03:47:52 INFO epoch 12 step 600/1401 loss 0.3020 lr 4.95e-05
03:48:04 INFO epoch 12 step 650/1401 loss 0.2667 lr 4.95e-05
03:48:16 INFO epoch 12 step 700/1401 loss 0.2662 lr 4.94e-05
03:48:29 INFO epoch 12 step 750/1401 loss 0.2861 lr 4.93e-05
03:48:41 INFO epoch 12 step 800/1401 loss 0.2983 lr 4.93e-05
03:48:53 INFO epoch 12 step 850/1401 loss 0.2811 lr 4.92e-05
03:49:05 INFO epoch 12 step 900/1401 loss 0.3011 lr 4.91e-05
03:49:17 INFO epoch 12 step 950/1401 loss 0.2746 lr 4.90e-05
03:49:30 INFO epoch 12 step 1000/1401 loss 0.2476 lr 4.90e-05
03:49:42 INFO epoch 12 step 1050/1401 loss 0.2783 lr 4.89e-05
03:49:54 INFO epoch 12 step 1100/1401 loss 0.2528 lr 4.88e-05
03:50:06 INFO epoch 12 step 1150/1401 loss 0.2769 lr 4.88e-05
03:50:19 INFO epoch 12 step 1200/1401 loss 0.2754 lr 4.87e-05
03:50:31 INFO epoch 12 step 1250/1401 loss 0.2696 lr 4.86e-05
03:50:43 INFO epoch 12 step 1300/1401 loss 0.2714 lr 4.86e-05
03:50:55 INFO epoch 12 step 1350/1401 loss 0.2833 lr 4.85e-05
03:51:08 INFO epoch 12 step 1400/1401 loss 0.2896 lr 4.84e-05
03:51:52 INFO == epoch 12 val: iou=0.4755 dice=0.6445
03:52:34 INFO epoch 13 step 50/1401 loss 0.2922 lr 4.84e-05
03:52:46 INFO epoch 13 step 100/1401 loss 0.3123 lr 4.83e-05
03:52:58 INFO epoch 13 step 150/1401 loss 0.2776 lr 4.82e-05
03:53:10 INFO epoch 13 step 200/1401 loss 0.2477 lr 4.81e-05
03:53:23 INFO epoch 13 step 250/1401 loss 0.2756 lr 4.81e-05
03:53:35 INFO epoch 13 step 300/1401 loss 0.2844 lr 4.80e-05
03:53:47 INFO epoch 13 step 350/1401 loss 0.2840 lr 4.79e-05
03:54:00 INFO epoch 13 step 400/1401 loss 0.2478 lr 4.79e-05
03:54:13 INFO epoch 13 step 450/1401 loss 0.2846 lr 4.78e-05
03:54:25 INFO epoch 13 step 500/1401 loss 0.2860 lr 4.77e-05
03:54:37 INFO epoch 13 step 550/1401 loss 0.2730 lr 4.76e-05
03:54:50 INFO epoch 13 step 600/1401 loss 0.2740 lr 4.76e-05
03:55:02 INFO epoch 13 step 650/1401 loss 0.2731 lr 4.75e-05
03:55:14 INFO epoch 13 step 700/1401 loss 0.2632 lr 4.74e-05
03:55:26 INFO epoch 13 step 750/1401 loss 0.3018 lr 4.74e-05
03:55:38 INFO epoch 13 step 800/1401 loss 0.3249 lr 4.73e-05
03:55:50 INFO epoch 13 step 850/1401 loss 0.2872 lr 4.72e-05
03:56:03 INFO epoch 13 step 900/1401 loss 0.2749 lr 4.71e-05
03:56:15 INFO epoch 13 step 950/1401 loss 0.2844 lr 4.71e-05
03:56:27 INFO epoch 13 step 1000/1401 loss 0.2753 lr 4.70e-05
03:56:39 INFO epoch 13 step 1050/1401 loss 0.2699 lr 4.69e-05
03:56:52 INFO epoch 13 step 1100/1401 loss 0.2913 lr 4.69e-05
03:57:04 INFO epoch 13 step 1150/1401 loss 0.2648 lr 4.68e-05
03:57:16 INFO epoch 13 step 1200/1401 loss 0.2855 lr 4.67e-05
03:57:28 INFO epoch 13 step 1250/1401 loss 0.2739 lr 4.66e-05
03:57:40 INFO epoch 13 step 1300/1401 loss 0.2526 lr 4.66e-05
03:57:53 INFO epoch 13 step 1350/1401 loss 0.2995 lr 4.65e-05
03:58:05 INFO epoch 13 step 1400/1401 loss 0.2727 lr 4.64e-05
03:58:47 INFO == epoch 13 val: iou=0.4891 dice=0.6569
03:58:47 INFO   new best iou=0.4891 -> best.pth
03:59:30 INFO epoch 14 step 50/1401 loss 0.2897 lr 4.63e-05
03:59:42 INFO epoch 14 step 100/1401 loss 0.2771 lr 4.63e-05
03:59:55 INFO epoch 14 step 150/1401 loss 0.2701 lr 4.62e-05
04:00:07 INFO epoch 14 step 200/1401 loss 0.2565 lr 4.61e-05
04:00:19 INFO epoch 14 step 250/1401 loss 0.2686 lr 4.60e-05
04:00:31 INFO epoch 14 step 300/1401 loss 0.2702 lr 4.60e-05
04:00:44 INFO epoch 14 step 350/1401 loss 0.2850 lr 4.59e-05
04:00:56 INFO epoch 14 step 400/1401 loss 0.2546 lr 4.58e-05
04:01:08 INFO epoch 14 step 450/1401 loss 0.3046 lr 4.57e-05
04:01:20 INFO epoch 14 step 500/1401 loss 0.2554 lr 4.57e-05
04:01:32 INFO epoch 14 step 550/1401 loss 0.2822 lr 4.56e-05
04:01:45 INFO epoch 14 step 600/1401 loss 0.2562 lr 4.55e-05
04:01:57 INFO epoch 14 step 650/1401 loss 0.2672 lr 4.54e-05
04:02:09 INFO epoch 14 step 700/1401 loss 0.2889 lr 4.54e-05
04:02:21 INFO epoch 14 step 750/1401 loss 0.2519 lr 4.53e-05
04:02:34 INFO epoch 14 step 800/1401 loss 0.2776 lr 4.52e-05
04:02:46 INFO epoch 14 step 850/1401 loss 0.2767 lr 4.51e-05
04:02:58 INFO epoch 14 step 900/1401 loss 0.2853 lr 4.51e-05
04:03:10 INFO epoch 14 step 950/1401 loss 0.2839 lr 4.50e-05
04:03:22 INFO epoch 14 step 1000/1401 loss 0.2660 lr 4.49e-05
04:03:35 INFO epoch 14 step 1050/1401 loss 0.2746 lr 4.48e-05
04:03:47 INFO epoch 14 step 1100/1401 loss 0.2872 lr 4.47e-05
04:03:59 INFO epoch 14 step 1150/1401 loss 0.2848 lr 4.47e-05
04:04:12 INFO epoch 14 step 1200/1401 loss 0.2642 lr 4.46e-05
04:04:24 INFO epoch 14 step 1250/1401 loss 0.2373 lr 4.45e-05
04:04:36 INFO epoch 14 step 1300/1401 loss 0.2700 lr 4.44e-05
04:04:48 INFO epoch 14 step 1350/1401 loss 0.2873 lr 4.44e-05
04:05:00 INFO epoch 14 step 1400/1401 loss 0.2735 lr 4.43e-05
04:05:41 INFO == epoch 14 val: iou=0.5048 dice=0.6710
04:05:42 INFO   new best iou=0.5048 -> best.pth
04:06:24 INFO epoch 15 step 50/1401 loss 0.2578 lr 4.42e-05
04:06:36 INFO epoch 15 step 100/1401 loss 0.2646 lr 4.41e-05
04:06:49 INFO epoch 15 step 150/1401 loss 0.2571 lr 4.40e-05
04:07:01 INFO epoch 15 step 200/1401 loss 0.2678 lr 4.40e-05
04:07:13 INFO epoch 15 step 250/1401 loss 0.2828 lr 4.39e-05
04:07:25 INFO epoch 15 step 300/1401 loss 0.2619 lr 4.38e-05
04:07:37 INFO epoch 15 step 350/1401 loss 0.3137 lr 4.37e-05
04:07:50 INFO epoch 15 step 400/1401 loss 0.2943 lr 4.37e-05
04:08:02 INFO epoch 15 step 450/1401 loss 0.2358 lr 4.36e-05
04:08:14 INFO epoch 15 step 500/1401 loss 0.2715 lr 4.35e-05
04:08:26 INFO epoch 15 step 550/1401 loss 0.2750 lr 4.34e-05
04:08:39 INFO epoch 15 step 600/1401 loss 0.2625 lr 4.33e-05
04:08:51 INFO epoch 15 step 650/1401 loss 0.2549 lr 4.33e-05
04:09:03 INFO epoch 15 step 700/1401 loss 0.2909 lr 4.32e-05
04:09:15 INFO epoch 15 step 750/1401 loss 0.2973 lr 4.31e-05
04:09:27 INFO epoch 15 step 800/1401 loss 0.2654 lr 4.30e-05
04:09:40 INFO epoch 15 step 850/1401 loss 0.2736 lr 4.29e-05
04:09:52 INFO epoch 15 step 900/1401 loss 0.2768 lr 4.29e-05
04:10:04 INFO epoch 15 step 950/1401 loss 0.2608 lr 4.28e-05
04:10:17 INFO epoch 15 step 1000/1401 loss 0.2779 lr 4.27e-05
04:10:29 INFO epoch 15 step 1050/1401 loss 0.2770 lr 4.26e-05
04:10:41 INFO epoch 15 step 1100/1401 loss 0.2513 lr 4.25e-05
04:10:53 INFO epoch 15 step 1150/1401 loss 0.2815 lr 4.25e-05
04:11:06 INFO epoch 15 step 1200/1401 loss 0.3005 lr 4.24e-05
04:11:18 INFO epoch 15 step 1250/1401 loss 0.2828 lr 4.23e-05
04:11:30 INFO epoch 15 step 1300/1401 loss 0.2713 lr 4.22e-05
04:11:42 INFO epoch 15 step 1350/1401 loss 0.2992 lr 4.21e-05
04:11:54 INFO epoch 15 step 1400/1401 loss 0.2826 lr 4.21e-05
04:12:35 INFO == epoch 15 val: iou=0.4906 dice=0.6583
04:13:17 INFO epoch 16 step 50/1401 loss 0.2895 lr 4.20e-05
04:13:29 INFO epoch 16 step 100/1401 loss 0.2787 lr 4.19e-05
04:13:41 INFO epoch 16 step 150/1401 loss 0.2714 lr 4.18e-05
04:13:54 INFO epoch 16 step 200/1401 loss 0.2650 lr 4.17e-05
04:14:06 INFO epoch 16 step 250/1401 loss 0.2716 lr 4.16e-05
04:14:18 INFO epoch 16 step 300/1401 loss 0.2768 lr 4.16e-05
04:14:30 INFO epoch 16 step 350/1401 loss 0.2762 lr 4.15e-05
04:14:43 INFO epoch 16 step 400/1401 loss 0.2767 lr 4.14e-05
04:14:55 INFO epoch 16 step 450/1401 loss 0.2663 lr 4.13e-05
04:15:07 INFO epoch 16 step 500/1401 loss 0.2612 lr 4.12e-05
04:15:19 INFO epoch 16 step 550/1401 loss 0.2684 lr 4.12e-05
04:15:31 INFO epoch 16 step 600/1401 loss 0.2783 lr 4.11e-05
04:15:44 INFO epoch 16 step 650/1401 loss 0.2844 lr 4.10e-05
04:15:56 INFO epoch 16 step 700/1401 loss 0.2788 lr 4.09e-05
04:16:08 INFO epoch 16 step 750/1401 loss 0.2713 lr 4.08e-05
04:16:21 INFO epoch 16 step 800/1401 loss 0.2514 lr 4.07e-05
04:16:33 INFO epoch 16 step 850/1401 loss 0.2466 lr 4.07e-05
04:16:45 INFO epoch 16 step 900/1401 loss 0.2648 lr 4.06e-05
04:16:57 INFO epoch 16 step 950/1401 loss 0.2505 lr 4.05e-05
04:17:09 INFO epoch 16 step 1000/1401 loss 0.2589 lr 4.04e-05
04:17:22 INFO epoch 16 step 1050/1401 loss 0.2642 lr 4.03e-05
